name,street,pzl,tel,fax,email
Steinbach an der Steyr,Ortsplatz 2,4596 Steinbach an der Steyr,+43 7257 7203,+43 7257 / 7203 - 516,gemeinde@steinbach-steyr.ooe.gv.at
Steinerkirchen an der Traun,Landstraße 7,4652 Steinerkirchen an der Traun,+43 7241 / 2255 0,+437241 / 2255 - 24,gemeinde@steinerkirchen-traun.ooe.gv.at
Steinhaus,Gemeindeplatz 2,4641 Steinhaus,+43 7242 / 27455,+437242 / 27455 - 2,gemeinde@steinhaus.ooe.gv.at
Steyr,Stadtplatz 27,4400 Steyr,+43 7252 / 575,+437252 / 575 - 285,office@steyr.gv.at
Steyregg,Weißenwolffstraße 3,4221 Steyregg,+43 732 / 64 01 55,+43732 / 64 05 55,office@steyregg.at
Straß im Attergau,Straß im Attergau 30,4881 Straß im Attergau,+43 7667 / 7112,+437667 / 7112 - 14,gemeinde@strass.ooe.gv.at
Stroheim,Stroheim 30,4074 Stroheim,+43 7272 / 6255,,gemeinde@stroheim.ooe.gv.at
Suben,Suben 7,4975 Suben,+43 7711 / 2255,+437711 / 2255 - 13,gemeinde@suben.at
Taiskirchen im Innkreis,Hofmarkt 29,4753 Taiskirchen im Innkreis,+43 7764 / 8257-0,+437764 / 8257 - 15,gemeinde@taiskirchen.ooe.gv.at
Tarsdorf,Tarsdorf 160,5121 Tarsdorf,+43 6278 / 8103,+436278 / 8103 - 77,gemeinde@tarsdorf.ooe.gv.at
Taufkirchen an der Pram,Schärdinger Straße 1,4775 Taufkirchen an der Pram,+43 7719 / 7255,+437719 / 7255 - 30,gemeinde@taufkirchen-pram.ooe.gv.at
Taufkirchen an der Trattnach,Taufkirchen 105,4715 Taufkirchen an der Trattnach,+43 7734 / 4010,+437734 / 2856,gemeinde@taufkirchen-trattnach.ooe.gv.at
Ternberg,Kirchenplatz 12,4452 Ternberg,+43 7256 / 6001,+437256 / 6001 - 40,amtsleitung@ternberg.ooe.gv.at
Thalheim bei Wels,Gemeindeplatz 1,4600 Thalheim bei Wels,+43 7242 / 47074 - 0,+437242 / 29 7 53,marktgemeinde@thalheim.at
Tiefgraben,Wredeplatz 2,5310 Mondsee,+43 6232 / 2265,+436232 / 2265 - 25,gemeinde@tiefgraben.ooe.gv.at
Timelkam,Pollheimerstraße 5,4850 Timelkam,+43 7672 / 95 1 05 - 0,+437672 / 95 1 05 - 10,marktgemeinde@timelkam.at
Tollet,Tollet 1,4710 Tollet,+43 7248 / 62401 - 2,,gemeinde@tollet.ooe.gv.at
Tragwein,Markt 33,4284 Tragwein,+43 7263 / 86055,+437263 / 86055 - 19,gemeinde@tragwein.ooe.gv.at
Traun,Hauptplatz 1,4050 Traun,+43 7229 / 688 - 0,+437229 / 688 - 170,buergerservice@traun.at
Traunkirchen,Ortsplatz 1,4801 Traunkirchen,+43 7617 / 2255,+437617 / 2255 - 85,gemeindeamt@traunkirchen.ooe.gv.at
Treubach,Untertreubach 44,5272 Treubach,+43 7724 / 8055,+437724 / 8055 - 4,gemeinde@treubach.ooe.gv.at
Tumeltsham,Kirchenplatz 4,4911 Tumeltsham,+43 7752 / 82 2 55,+437752 / 81 3 34,gemeinde@tumeltsham.ooe.gv.at
Überackern,Dorfstraße 3,5123 Überackern,+43 7727 / 2912,+437727 / 2912 - 14,gemeinde@ueberackern.ooe.gv.at
Ulrichsberg,Markt 20,4161 Ulrichsberg,+43 7288 / 7031,+437288 / 7031 - 33,gemeinde@ulrichsberg.ooe.gv.at
Ungenach,Ungenach 33,4841 Ungenach,+43 7672 / 8012,,gemeinde@ungenach.ooe.gv.at
Unterach am Attersee,Hauptstraße 9,4866 Unterach am Attersee,+43 7665 / 8255,+437665 / 8255 - 19,gemeinde@unterach-attersee.ooe.gv.at
Unterweißenbach,Markt 21,4273 Unterweißenbach,+43 7956 / 7255 - 0,+43 07956 7255 31,marktgemeinde@unterweissenbach.ooe.gv.at
Unterweitersdorf,Gusentalstraße 1a,4213 Unterweitersdorf,+43 7235 / 63 0 14,+437235 / 63 0 14 - 13,gemeinde@unterweitersdorf.ooe.gv.at
Utzenaich,Hofmark 3,4972 Utzenaich,+43 7751 / 8272 - 0,+437751 / 8272 - 18,gemeinde@utzenaich.ooe.gv.at
Vichtenstein,Vichtenstein 70,4091 Vichtenstein,+43 7714 / 8055,+437714 / 8055 - 31,gemeinde@vichtenstein.ooe.gv.at
Vöcklabruck,Klosterstraße 9,4840 Vöcklabruck,+43 7672 / 760 - 0,+437672 / 760 - 81,stadtamt@voecklabruck.at
Vöcklamarkt,Dr.-Scheiber-Straße 1,4870 Vöcklamarkt,+43 7682 / 2655 - 0,+437682 / 2655 - 33,gemeinde@voecklamarkt.ooe.gv.at
Vorchdorf,Schloßplatz 7,4655 Vorchdorf,+43 7614 / 6555,+437614 / 6555 - 22,gemeinde@vorchdorf.ooe.gv.at
Vorderstoder,Dorf 182,4574 Vorderstoder,+43 7564 / 8255,+437564 / 8255 - 20,gemeinde@vorderstoder.ooe.gv.at
Vorderweißenbach,Hauptstraße 4a,4191 Vorderweißenbach,+43 7219 / 6055,+437219 / 6055 - 20,gemeinde@vorderweissenbach.at
Waizenkirchen,Marktplatz 3,4730 Waizenkirchen,+43 7277 / 2255,+437277 / 2255 - 30,gemeinde@waizenkirchen.ooe.gv.at
Waldburg,Waldburg 8a,4240 Waldburg,+43 7942 / 8300,+437942 / 8300 - 4,gemeinde@waldburg.ooe.gv.at
Waldhausen im Strudengau,Markt 14,4391 Waldhausen im Strudengau,+43 7260 / 4505,+437260 / 4505 - 8,gemeinde@waldhausen.ooe.gv.at
Walding,Hauptstraße 19,4111 Walding,+43 7234 / 82 3 02,,office@walding.at
Waldkirchen am Wesen,Waldkirchen 61,4085 Waldkirchen,+43 7718 / 7255 - 0,+437718 / 7255 - 14,gemeinde@waldkirchen.ooe.gv.at
Waldneukirchen,Dorfplatz 1,4595 Waldneukirchen,+43 7258 / 3812,+437258 / 3812 - 40,gemeinde@waldneukirchen.ooe.gv.at
Waldzell,Hofmark 1,4924 Waldzell,+43 7754 / 2255,,gemeinde@waldzell.ooe.gv.at
Wallern an der Trattnach,Marktplatz 1,4702 Wallern an der Trattnach,+43 7249 / 48 1 26 - 0,,gemeinde@wallern.ooe.gv.at
Wartberg an der Krems,Hauptstraße 21,4552 Wartberg an der Krems,+43 7587 / 7055 - 0,+437587 / 7055 - 32,marktgemeindeamt@wartberg-krems.ooe.gv.at
Wartberg ob der Aist,Hauptstraße 5,4224 Wartberg ob der Aist,+43 7236 / 3700,+437236 / 3700 - 37,marktgemeindeamt@wartberg-aist.ooe.gv.at
Weibern,Hauptstraße 5,4675 Weibern,+43 7732 / 2555,+437732 / 2555 - 19,gemeinde@weibern.ooe.gv.at
Weilbach,Weilbach 34,4984 Weilbach,+43 7757 / 6355,,gemeinde@weilbach.ooe.gv.at
Weißenkirchen im Attergau,Weißenkirchen im Attergau 13,4890 Weißenkirchen im Attergau,+43 7684 / 6355,,gemeinde@weissenkirchen.ooe.gv.at
Weißkirchen an der Traun,Gemeindeplatz 1,4616 Weißkirchen an der Traun,+43 7243 / 56 1 55 - 0,+437243 / 56 1 55 - 31,gemeinde@weisskirchen.ooe.gv.at
Weitersfelden,Weitersfelden 11,4272 Weitersfelden,+43 7952 / 6255 - 0,+437952 / 6255 - 9,gemeinde@weitersfelden.ooe.gv.at
Wels,Stadtplatz 1,4600 Wels,+43 7242 / 235 - 0,+437242 / 235 - 4740,post.magistrat@wels.gv.at
Wendling,Hauptstraße 15,4741 Wendling,+43 7736 / 6191 - 0,+437736 / 6191 - 3,gemeinde@wendling.ooe.gv.at
Weng im Innkreis,Hauptstraße 30,4952 Weng im Innkreis,+43 7723 / 5055,+437723 / 5055 - 4,gemeinde@weng-innkreis.ooe.gv.at
Wernstein am Inn,Innstraße 1,4783 Wernstein am Inn,+43 7713 / 7000 - 0,+437713 / 7000 - 20,gemeinde@wernstein-inn.ooe.gv.at
Weyer,Marktplatz 8,3335 Weyer,+43 7355 / 6255,+437355 / 6255 - 90,gemeinde@weyer.ooe.gv.at
Weyregg am Attersee,Weyregger Straße 69,4852 Weyregg am Attersee,+43 7664 / 2255 - 0,+437664 / 2254 - 14,gemeinde@weyregg.ooe.gv.at
Wilhering,Linzer Straße 10,4073 Wilhering,+43 7226 / 2255,+437226 / 3095,gemeinde@wilhering.at
Windhaag bei Freistadt,Markt 1,4263 Windhaag bei Freistadt,+43 7943 / 6111,+437943 / 6111 - 4,gemeinde@windhaag-freistadt.ooe.gv.at
Windhaag bei Perg,Eva-Magdalena-Straße 7,4322 Windhaag bei Perg,+43 7264 / 4255,+437264 / 4255 - 22,gemeinde@windhaag-perg.at
Windischgarsten,Hauptstraße 5,4580 Windischgarsten,+43 7562 / 5255 - 0,+437562 / 5255 - 25,gemeinde@windischgarsten.ooe.gv.at
Wippenham,Wippenham 37,4942 Wippenham,+43 7757 / 6614,+437757 / 6614-19,gemeinde@wippenham.ooe.gv.at
Wolfern,Kirchenplatz 5,4493 Wolfern,+43 7253 / 8255,+437253 / 8255 - 18,gemeinde@wolfern.ooe.gv.at
Wolfsegg am Hausruck,Schulstraße 22,4902 Wolfsegg am Hausruck,+43 7676 / 7355,+437676 / 7355 - 17,gemeinde@wolfsegg.ooe.gv.at
Zell am Moos,Kirchenplatz 1,4893 Zell am Moos,+43 6234 / 8215,+436234 / 8215 - 4,gemeinde@zell-moos.ooe.gv.at
Zell am Pettenfirst,Zell am Pettenfirst 32,4842 Zell am Pettenfirst,+43 7675 / 2355,+437675 / 2355 - 15,gemeinde@zell-pettenfirst.ooe.gv.at
Zell an der Pram,Hofmark 1,4755 Zell an der Pram,+43 7764 / 83 55,+437764 / 8355 - 40,gemeinde@zell-pram.ooe.gv.at
Zwettl an der Rodl,Marktplatz 2,4180 Zwettl an der Rodl,+43 7212 / 6555,+43 07212 6555-37,gemeinde@hellmonsoedt-zwettl.at
